config_tag,exp_group,seed,run,best_val,best_test
baseline_cfg0,baseline,120,0,0.788000,0.788000
baseline_cfg1,baseline,120,0,0.798000,0.803000
sch_cfg0,schannel,120,0,0.792000,0.792000
sch_cfg1,schannel,120,0,0.786000,0.772000
sch_cfg2,schannel,120,0,0.788000,0.777000
sch_cfg3,schannel,120,0,0.788000,0.815000
baseline_cfg0,baseline,121,0,0.794000,0.795000
baseline_cfg1,baseline,121,0,0.788000,0.770000
sch_cfg0,schannel,121,0,0.782000,0.799000
sch_cfg1,schannel,121,0,0.790000,0.793000
sch_cfg2,schannel,121,0,0.794000,0.788000
sch_cfg3,schannel,121,0,0.788000,0.802000
baseline_cfg0,baseline,122,0,0.786000,0.802000
baseline_cfg1,baseline,122,0,0.784000,0.796000
sch_cfg0,schannel,122,0,0.786000,0.810000
sch_cfg1,schannel,122,0,0.786000,0.779000
sch_cfg2,schannel,122,0,0.798000,0.797000
sch_cfg3,schannel,122,0,0.796000,0.814000
baseline_cfg0,baseline,123,0,0.786000,0.803000
baseline_cfg1,baseline,123,0,0.800000,0.807000
sch_cfg0,schannel,123,0,0.788000,0.811000
sch_cfg1,schannel,123,0,0.796000,0.803000
sch_cfg2,schannel,123,0,0.790000,0.812000
sch_cfg3,schannel,123,0,0.790000,0.793000
baseline_cfg0,baseline,124,0,0.786000,0.781000
baseline_cfg1,baseline,124,0,0.786000,0.801000
sch_cfg0,schannel,124,0,0.794000,0.800000
sch_cfg1,schannel,124,0,0.792000,0.779000
sch_cfg2,schannel,124,0,0.802000,0.803000
sch_cfg3,schannel,124,0,0.796000,0.801000
baseline_cfg0,baseline,125,0,0.788000,0.800000
baseline_cfg1,baseline,125,0,0.790000,0.798000
sch_cfg0,schannel,125,0,0.790000,0.806000
sch_cfg1,schannel,125,0,0.804000,0.795000
sch_cfg2,schannel,125,0,0.792000,0.812000
sch_cfg3,schannel,125,0,0.792000,0.810000
baseline_cfg0,baseline,126,0,0.796000,0.802000
baseline_cfg1,baseline,126,0,0.788000,0.774000
sch_cfg0,schannel,126,0,0.798000,0.790000
sch_cfg1,schannel,126,0,0.786000,0.815000
sch_cfg2,schannel,126,0,0.790000,0.800000
sch_cfg3,schannel,126,0,0.794000,0.819000
baseline_cfg0,baseline,127,0,0.792000,0.811000
baseline_cfg1,baseline,127,0,0.796000,0.800000
sch_cfg0,schannel,127,0,0.784000,0.794000
sch_cfg1,schannel,127,0,0.796000,0.795000
sch_cfg2,schannel,127,0,0.790000,0.806000
sch_cfg3,schannel,127,0,0.800000,0.812000
baseline_cfg0,baseline,128,0,0.784000,0.786000
baseline_cfg1,baseline,128,0,0.800000,0.814000
sch_cfg0,schannel,128,0,0.784000,0.792000
sch_cfg1,schannel,128,0,0.790000,0.790000
sch_cfg2,schannel,128,0,0.794000,0.802000
sch_cfg3,schannel,128,0,0.786000,0.807000
baseline_cfg0,baseline,129,0,0.790000,0.782000
baseline_cfg1,baseline,129,0,0.794000,0.788000
sch_cfg0,schannel,129,0,0.800000,0.808000
sch_cfg1,schannel,129,0,0.802000,0.803000
sch_cfg2,schannel,129,0,0.796000,0.815000
sch_cfg3,schannel,129,0,0.800000,0.786000
